index,unique_id,ds,SeasonalNaive,MSTL,AutoETS
0,ERCOT,2022-09-29 00:00:00,40434.773438,39920.40678470272,43168.90833644599
1,ERCOT,2022-09-29 01:00:00,38479.428135,37638.39733121664,43186.61017212256
2,ERCOT,2022-09-29 02:00:00,37044.719191,36089.98593242942,43204.312007799126
3,ERCOT,2022-09-29 03:00:00,36374.102555,35204.23731188445,43222.013843475695
4,ERCOT,2022-09-29 04:00:00,36198.107505,35057.69908407003,43239.715679152265
5,ERCOT,2022-09-29 05:00:00,37173.497256,36132.045345679355,43257.417514828834
6,ERCOT,2022-09-29 06:00:00,39499.933339,38351.832116061276,43275.1193505054
7,ERCOT,2022-09-29 07:00:00,40396.989329,38998.9728062809,43292.82118618197
8,ERCOT,2022-09-29 08:00:00,41313.387349,40198.466752652224,43310.52302185854
9,ERCOT,2022-09-29 09:00:00,42999.541575,43075.29451355332,43328.22485753511
10,ERCOT,2022-09-29 10:00:00,45420.526865,46646.16899713885,43345.92669321168
11,ERCOT,2022-09-29 11:00:00,47971.887118,50259.930636666686,43363.62852888825
12,ERCOT,2022-09-29 12:00:00,50710.835978,53768.420228710616,43381.33036456482
13,ERCOT,2022-09-29 13:00:00,53830.988625,57081.3499208438,43399.03220024139
14,ERCOT,2022-09-29 14:00:00,56616.881532,59450.855379058914,43416.73403591796
15,ERCOT,2022-09-29 15:00:00,59070.864527,60983.42835694483,43434.43587159453
16,ERCOT,2022-09-29 16:00:00,60915.87013,61732.6511763342,43452.1377072711
17,ERCOT,2022-09-29 17:00:00,61104.575041,61216.35282433098,43469.839542947666
18,ERCOT,2022-09-29 18:00:00,58935.548175,58968.3821713657,43487.541378624235
19,ERCOT,2022-09-29 19:00:00,56066.845146,56227.78228480751,43505.243214300805
20,ERCOT,2022-09-29 20:00:00,53907.614074,53935.548118137085,43522.945049977374
21,ERCOT,2022-09-29 21:00:00,50689.277736,50781.28490693971,43540.64688565394
22,ERCOT,2022-09-29 22:00:00,46847.093319,46985.393316324225,43558.34872133051
23,ERCOT,2022-09-29 23:00:00,43150.835029,43183.454832542055,43576.05055700708
24,ERCOT,2022-09-30 00:00:00,40434.773438,39842.38732410518,43593.75239268365
25,ERCOT,2022-09-30 01:00:00,38479.428135,37490.046088039715,43611.45422836022
26,ERCOT,2022-09-30 02:00:00,37044.719191,35951.94852177014,43629.15606403679
27,ERCOT,2022-09-30 03:00:00,36374.102555,35076.23185361974,43646.85789971336
28,ERCOT,2022-09-30 04:00:00,36198.107505,34995.46455566415,43664.55973538993
29,ERCOT,2022-09-30 05:00:00,37173.497256,36108.33413539633,43682.2615710665
30,ERCOT,2022-09-30 06:00:00,39499.933339,38291.327153113234,43699.96340674307
31,ERCOT,2022-09-30 07:00:00,40396.989329,39012.29796932364,43717.665242419636
32,ERCOT,2022-09-30 08:00:00,41313.387349,40293.603624441785,43735.367078096206
33,ERCOT,2022-09-30 09:00:00,42999.541575,43233.872102627356,43753.068913772775
34,ERCOT,2022-09-30 10:00:00,45420.526865,46851.70214951869,43770.77074944934
35,ERCOT,2022-09-30 11:00:00,47971.887118,50425.24280893875,43788.472585125906
36,ERCOT,2022-09-30 12:00:00,50710.835978,53954.764064434305,43806.174420802476
37,ERCOT,2022-09-30 13:00:00,53830.988625,57063.88374048578,43823.876256479045
38,ERCOT,2022-09-30 14:00:00,56616.881532,59313.307545091026,43841.578092155614
39,ERCOT,2022-09-30 15:00:00,59070.864527,60586.857856625116,43859.27992783218
40,ERCOT,2022-09-30 16:00:00,60915.87013,61350.54678637874,43876.98176350875
41,ERCOT,2022-09-30 17:00:00,61104.575041,60957.42877549384,43894.68359918532
42,ERCOT,2022-09-30 18:00:00,58935.548175,58570.50262796049,43912.38543486189
43,ERCOT,2022-09-30 19:00:00,56066.845146,55692.35166783437,43930.08727053846
44,ERCOT,2022-09-30 20:00:00,53907.614074,53260.959667842646,43947.78910621503
45,ERCOT,2022-09-30 21:00:00,50689.277736,50366.70971981056,43965.4909418916
46,ERCOT,2022-09-30 22:00:00,46847.093319,47182.73790280691,43983.19277756817
47,ERCOT,2022-09-30 23:00:00,43150.835029,43975.812495751874,44000.89461324474
